USER,COURSE_ID,SCORE
2,excourse72,136.0
2,excourse73,136.0
2,GPXX0IBEN,105.0
2,GPXX0TY1EN,101.0
2,excourse31,99.0
4,excourse72,92.0
4,excourse73,92.0
4,GPXX0TY1EN,72.0
4,excourse31,68.0
4,excourse02,68.0
5,GPXX0IBEN,76.0
5,SW0101EN,74.0
5,SW0201EN,74.0
5,GPXX0TY1EN,66.0
5,GPXX0D14EN,64.0
7,TMP0105EN,6.0
7,excourse72,6.0
7,excourse73,6.0
7,RP0105EN,6.0
7,BD0212EN,6.0
8,BD0211EN,16.0
8,excourse72,16.0
8,excourse73,16.0
8,SC0103EN,16.0
8,TMP0105EN,16.0
9,excourse73,36.0
9,excourse72,36.0
9,BD0212EN,36.0
9,TMP0105EN,36.0
9,SC0103EN,36.0
12,excourse72,20.0
12,RP0105EN,20.0
12,excourse73,20.0
12,SC0103EN,20.0
12,GPXX0IBEN,16.0
16,excourse72,30.0
16,TMP0105EN,30.0
16,RP0105EN,30.0
16,SC0103EN,30.0
16,excourse73,30.0
17,excourse53,2.0
17,ML0109EN,2.0
17,CB0201EN,2.0
17,GPXX0742EN,2.0
17,excourse40,2.0
19,GPXX0M6UEN,6.0
19,GPXX097UEN,6.0
19,BD0143EN,6.0
19,BD0141EN,6.0
19,excourse03,6.0
20,excourse93,4.0
20,GPXX0ADEN,4.0
20,GPXX0ZG0EN,4.0
20,SW0201EN,4.0
20,SW0101EN,4.0
21,excourse72,4.0
21,BD0211EN,4.0
21,GPXX097UEN,4.0
21,BD0145EN,4.0
21,excourse70,4.0
22,excourse21,6.0
22,excourse22,6.0
22,ML0101EN,6.0
22,GPXX01DCEN,4.0
22,RP0101EN,4.0
23,excourse73,14.0
23,RP0105EN,14.0
23,SC0103EN,14.0
23,BD0212EN,14.0
23,excourse72,14.0
25,RP0105EN,36.0
25,TMP0105EN,36.0
25,excourse72,36.0
25,excourse73,36.0
25,excourse31,28.0
26,excourse10,2.0
26,BD0121EN,2.0
26,BD0123EN,2.0
26,BD0135EN,2.0
26,GPXX0T3CEN,2.0
27,RP0105EN,6.0
27,excourse93,4.0
27,GPXX0G81EN,4.0
27,excourse92,4.0
27,GPXX0UMSEN,4.0
28,excourse72,50.0
28,excourse73,50.0
28,SC0103EN,50.0
28,excourse31,38.0
28,TA0106EN,38.0
29,TA0106EN,10.0
29,GPXX0IBEN,10.0
29,ML0101EN,8.0
29,PA0101EN,8.0
29,ML0122ENv1,8.0
30,TA0106EN,18.0
30,GPXX01DCEN,16.0
30,GPXX04P5EN,16.0
30,ML0122EN,16.0
30,excourse22,16.0
33,TMP0105EN,6.0
33,excourse72,6.0
33,excourse73,6.0
33,RP0105EN,6.0
33,BD0212EN,6.0
34,excourse72,4.0
34,BD0211EN,4.0
34,GPXX097UEN,4.0
34,BD0145EN,4.0
34,excourse70,4.0
35,excourse72,12.0
35,BD0212EN,12.0
35,RP0105EN,12.0
35,TMP0105EN,12.0
35,excourse73,12.0
36,RP0105EN,18.0
36,excourse72,14.0
36,TMP0105EN,14.0
36,excourse73,14.0
36,BD0212EN,14.0
38,BD0211EN,14.0
38,BD0212EN,14.0
38,excourse72,14.0
38,TMP0105EN,14.0
38,SC0103EN,14.0
39,RP0105EN,22.0
39,TMP0105EN,18.0
39,SC0103EN,18.0
39,excourse72,18.0
39,excourse73,18.0
40,excourse72,16.0
40,excourse73,16.0
40,RP0105EN,16.0
40,BD0212EN,16.0
40,SC0103EN,16.0
41,excourse73,10.0
41,RP0105EN,10.0
41,TMP0105EN,10.0
41,BD0212EN,10.0
41,excourse72,10.0
42,excourse09,2.0
42,excourse39,2.0
42,excourse32,2.0
42,excourse33,2.0
42,excourse34,2.0
43,excourse72,16.0
43,excourse73,16.0
43,RP0105EN,16.0
43,BD0212EN,16.0
43,SC0103EN,16.0
